FILENAME	USERNAME	ACTION	GROUPNAME	IP	DATE  TIME
nanodc@10.0.63.66	jeet	DOWNLOAD	IITGN	10.1.136.114	Thu Oct 31 17:28:11 2019

nanodc@10.0.63.66	jeet	UPLOAD	IITGN	10.1.136.114	Thu Oct 31 17:41:02 2019

nanodc@10.0.63.66	jeet	DELETE	IITGN	10.1.136.114	Thu Oct 31 17:41:21 2019

2_working_com_server_v4.py	jeet	UPLOAD	IITGN	10.1.136.114	Thu Oct 31 18:17:33 2019

Some_rectification.pdf	jeet	DOWNLOAD	IITGN	10.1.136.114	Thu Oct 31 18:17:44 2019

Some_rectification.pdf	jeet	DOWNLOAD	IITGN	10.1.136.114	Thu Oct 31 18:20:53 2019

nanodc@10.0.63.66	jeet	UPLOAD	IITGN	10.1.136.114	Thu Oct 31 20:09:36 2019

nanodc@10.0.63.66	jeet	DOWNLOAD	IITGN	10.1.136.114	Thu Oct 31 20:09:42 2019

nanodc@10.0.63.66	jeet	DELETE	IITGN	10.1.136.114	Thu Oct 31 20:09:50 2019
